,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
200,"['$weat', 'hit', '12', 'zone', 'again']",2014-10-29,10:41:53,EST,28570186,WEAT,[u'suggested'],24161,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
201,"['$rgls', 'cant', 'holdgot', 'out', 'around', '20', 'no', 'follow', 'though']",2014-10-29,10:40:49,EST,28570097,RGLS,[u'suggested'],19089,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
202,"['IBM', '$IBM', 'Planning', 'Important', 'Announcement', 'at', '1145', 'AM']",2014-10-29,10:40:47,EST,28570095,IBM,"[u'suggested', u'official']",48382,8203,Fundamental,[u'Equities'],Professional,,Street_Insider
203,"['$F', 'nearing', 'its', '52-week', 'low', 'Now', 'down', '995', 'for', 'the', 'year']",2014-10-29,10:38:29,EST,28569958,F,[u'suggested'],30890,22227,Fundamental,[u'Equities'],Intermediate,Long Term Investor,abubnic
204,"['PS', 'rockets', 'blow', 'up', 'all', 'the', 'time', 'via', '@sciam', '$ORB']",2014-10-29,10:38:04,EST,28569931,ORB,"[u'suggested', u'official']",35005,76,Global Macro,[u'Equities'],Professional,Position Trader,abnormalreturns
205,"['And', 'Nick', 'Schorsch', 'is', 'still', 'a', 'very', 'rich', 'man', '$ARCP', '$RCAP']",2014-10-29,10:37:53,EST,28569914,ARCP,"[u'suggested', u'official']",19727,10381,Value,"[u'Equities', u'Options']",Professional,Position Trader,CapitalObserver
206,"['$vix', 'is', 'set', 'up', 'pretty', 'nicely', 'for', 'another', '18', 'test', 'if', 'the', 'bears', 'have', 'claws']",2014-10-29,10:37:32,EST,28569895,VIX,"[u'suggested', u'official']",1344,18652,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,a_jackson
207,"['Windows', '10', 'will', 'come', 'with', 'a', 'command', 'line', 'package', 'manager', 'much', 'to', 'the', 'lament', 'of', 'Linux', 'users', '$MSFT', '$RHT']",2014-10-29,10:36:24,EST,28569827,MSFT,[u'suggested'],29913,391,Technical,[u'Equities'],Professional,Swing Trader,jackdamn
208,"['NEW', 'POST', 'A', 'Quick', 'Trip', 'Underwater', '$TBT', '$TLT', '$TNX']",2014-10-29,10:36:13,EST,28569818,TBT,[u'suggested'],22964,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
209,"['quot', '@FinancialJuice', 'IBM', '$IBM', 'to', 'make', 'quotimportant', 'quot', 'announcement', 'at', '1145', 'ET', 'quot']",2014-10-29,10:34:59,EST,28569751,IBM,[u'suggested'],24769,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
210,"['$ARCP', 'quotsee', 'ya', 'later', 'frank', 'quot', 'drop']",2014-10-29,10:34:32,EST,28569719,ARCP,[u'suggested'],24161,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
211,"['IBM', '$IBM', 'to', 'make', 'quotimportant', 'quot', 'announcement', 'at', '1145', 'ET']",2014-10-29,10:34:25,EST,28569712,IBM,"[u'suggested', u'official']",36025,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
212,"['$TRN', 'says', 'they', '39ve', 'seen', 'zero', 'pullback', 'in', 'rail', 'car', 'business', 'with', 'decline', 'of', 'oil', 'Call', 'happening', 'now']",2014-10-29,10:34:20,EST,28569704,TRN,[u'suggested'],17626,26553,Fundamental,[u'Equities'],Professional,Swing Trader,The_Real_Fly
213,"['Panera', 'Misses', 'Q3', 'Earnings', 'FY', 'Guidance', 'Narrowed', '$PNRA']",2014-10-29,10:34:20,EST,28569705,PNRA,"[u'suggested', u'official']",339,296805,,[],,,TalkMarkets
214,"['I', 'love', 'how', 'you', 'microbes', 'think', 'you', 'have', 'it', 'all', 'figured', 'out', 'Everyone', 'has', 'a', 'plank', 'until', 'they', 'get', 'punched', 'in', 'the', 'face', '$GPRO']",2014-10-29,10:33:07,EST,28569625,GPRO,[u'suggested'],17630,26553,Fundamental,[u'Equities'],Professional,Swing Trader,The_Real_Fly
215,"['Clean', '5', 'wave', 'move', 'in', '$GBPJPY', 'that', 'meets', 'a', 'lot', 'of', 'elliott', 'wave', 'guidelines', 'Eyeing', 'the', '171', 'handle']",2014-10-29,10:31:39,EST,28569529,GBPJPY,"[u'suggested', u'official']",6470,110145,Technical,"[u'Equities', u'Options', u'Forex']",,,JWagnerFXTrader
216,"['Covered', 'some', '$GRPN', 'at', '58', 'for', '5', 'gains', 'Also', 'have', 'short', 'strike-6\xc2\xbd', 'calls']",2014-10-29,10:27:57,EST,28569275,GRPN,[u'suggested'],15900,2314,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,bearcharts
217,"['$COH', 'Earnings', 'Sales', 'Tumble', 'As', 'Makeover', 'Takes', 'Time', '$KORS', '$KATE']",2014-10-29,10:27:45,EST,28569263,COH,[u'suggested'],30888,22227,Fundamental,[u'Equities'],Intermediate,Long Term Investor,abubnic
