,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
54,"['Bidding', 'some', 'Jan', '240', 'calls', 'for', '$LNKD']",2014-11-26,14:21:03,EST,29668317,LNKD,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
55,"['Irrational', 'Exuberance', 'Descriptive', 'Superlatives', 'Exhaustion', 'Point', 'Is', 'Reached', '$JNK', '$SPX']",2014-11-26,14:20:43,EST,29668294,SPX,"[u'suggested', u'official']",1004,296805,,[],,,TalkMarkets
56,"['$SOX', 'could', 'close', '2014', 'with', '9', 'consecutive', 'up', 'quarters', 'The', 'previous', 'longest', 'streak', 'was', '6', 'during', 'the', '1998-1999', 'blow-off', 'move']",2014-11-26,14:20:43,EST,29668296,SOX,"[u'suggested', u'official']",32080,13740,,[u'Equities'],Professional,,hertcapital
57,"['NEW', 'POST', 'Drillers', 'Getting', 'Drilled', 'Chess', 'Moves', '$ERY', '$RIG', '$SDRL', '$USO', '$XLE']",2014-11-26,14:18:18,EST,29668151,ERY,[u'suggested'],24096,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
58,"['Key', 'levels', 'quot', '@jessefelder', '$AAPL', 'desperately', 'trying', 'to', 'hang', 'on', 'to', 'bottom', 'of', 'this', 'wedge', 'Breakdown', 'could', 'mean', '10', 'pts', 'quot']",2014-11-26,14:18:03,EST,29668130,AAPL,"[u'ir', u'suggested', u'official']",92661,170,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Novice,,StockTwits
59,"['$GDX', 'still', 'looks', 'bullish', 'especially', 'if', 'it', 'can', 'hold', 'gt', '20']",2014-11-26,14:17:57,EST,29668122,GDX,[u'suggested'],22648,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
60,"['$GPRO', 'gap', 'cycle', 'completes', 'ding', 'time', 'to', 'sell', 'some', 'off', '79', 'bucks', 'great', 'ride']",2014-11-26,14:16:29,EST,29668041,GPRO,[u'suggested'],2644,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
61,"['@Gpaisa', '@tatrader11', 'thnx', 'for', 'comment', 'must', 'be', 'the', 'holidays', 'haha', '$STUDY']",2014-11-26,14:15:20,EST,29667988,STUDY,[u'suggested'],2646,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
62,"['$AAPL', 'is', 'desperately', 'trying', 'to', 'hang', 'on', 'to', 'the', 'bottom', 'of', 'this', 'wedge', 'Breakdown', 'could', 'mean', '10', 'pts']",2014-11-26,14:14:49,EST,29667952,AAPL,[u'suggested'],22648,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
63,"['$STUDY', 'easiest', 'way', 'to', 'trade', 'is', 'to', 'stay', 'with', 'RS', 'It', '39s', 'being', 'bot', 'for', 'a', 'reason', 'no', 'need', 'to', 'predict', 'or', 'guess']",2014-11-26,14:14:26,EST,29667926,STUDY,[u'suggested'],2644,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
64,"['$STUDY', 'hard', 'for', 'many', 'to', 'cut', 'losers', 'bc', 'they', 'didn', '39t', 'plan', 'on', 'this', 'most', 'believe', 'that', 'their', 'stock', 'will', 'go', 'in', 'their', 'favor', 'once', 'they', 'buy']",2014-11-26,14:13:07,EST,29667865,STUDY,[u'suggested'],2643,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
