CTF,[198328]
RAVN,[91659]
TINY,[224391]
CTB,"[245593, 309106]"
CTL,"[200545, 202852, 203286, 203288, 223947, 224839, 225099, 225167, 225198, 226198, 235542, 307167]"
SPH,"[226299, 246610]"
MOBI,"[28599, 28601, 29622, 202708, 202852, 203066, 249647, 307003, 360219, 360779, 360828, 360843, 360844, 360845, 360846, 360847, 360851, 360852, 360854, 360855, 360856, 360877, 360878, 360884, 360885, 360886]"
MOBL,"[29394, 223576, 224540, 307144, 307329]"
KTOS,"[245289, 245553, 308420, 308745]"
ARTX,"[180449, 180840, 180842, 180846, 180941, 180958, 181515, 307305, 307417, 307788, 307863, 308204, 308208]"
WHR,"[294, 22323, 29123, 74832, 74863, 93180, 198606, 200549, 224429, 225253, 245072, 248765]"
TASR,"[28284, 28324, 28391, 28599, 31249, 50674, 66819, 66951, 67123, 67219, 92142, 135401, 199145, 199194, 202582, 202815, 202887, 202922, 203065, 203066, 226206, 306714, 306828, 306837, 306841, 306860, 306986, 306991]"
GCA,"[28239, 28242, 198492, 202852, 306812, 306814]"
YOKU,"[192026, 193087, 202096, 203041, 224925, 250016, 307936, 307947, 308267, 308849]"
ATEC,"[245438, 308359]"
ATEN,"[30785, 30793, 307144, 308297]"
DOVR,[225677]
V,"[198, 1194, 1212, 21198, 21200, 21966, 22140, 29067, 29080, 29084, 29173, 29494, 30213, 30463, 31019, 49459, 57360, 74708, 130601, 132038, 165910, 166075, 175530, 192015, 192052, 192064, 192168, 192473, 192608, 192856, 193076, 193278, 193283, 193421, 197799, 197801, 198006, 198009, 198020, 198468, 198901, 199268, 199300, 200023, 200103, 200298, 200614, 200625, 223750, 224278, 224354, 225003, 225051, 225491, 225604, 226671, 235895, 244864, 245181, 245777, 245794, 245823, 245885, 246070, 248790, 250188, 264150, 275116, 279952, 307964, 308239, 309060, 309061]"
MCF,"[200740, 224953, 225140, 246847, 246934]"
MUX,"[180507, 180513, 180703, 180967, 180981, 180987, 180989, 180991, 180993, 181046, 181047, 181223, 181235, 181239, 181243]"
NTAP,"[28678, 30091, 74796, 74912, 203095, 225910, 225977, 245879, 307671, 308288]"
ZBRA,"[308080, 308084]"
RLD,"[245996, 308281]"
LMT,"[6, 236, 22116, 22311, 28173, 28503, 29743, 30498, 175183, 175431, 198100, 199250, 199327, 200784, 223553, 223821, 223887, 223950, 224128, 224181, 224231, 225532, 225565, 225773, 225960, 226314, 226335, 226487, 234228, 235177, 245985, 259302, 259304, 269285, 270363, 270364, 270365, 275420, 309518, 343127, 343190, 343236]"
EDR,"[225288, 307447]"
SFUN,"[29584, 74340, 201741, 203174, 203178, 245710, 245856, 251525, 258423, 284729, 361989]"
SPF,"[205282, 205349, 275375]"
ORI,"[226057, 246113]"
OCRX,[307520]
ORB,[307928]
EVEP,[224649]
ORA,[225792]
DPW,[307185]
PSEC,"[189284, 202986, 223578, 224172, 224436, 224478, 224609, 224915, 225258, 225296, 225344, 225496, 225800, 226033]"
DPS,"[30365, 30560, 224184, 224817, 226044]"
EIG,[198105]
GV,"[309053, 309054]"
ARCC,"[224758, 226526]"
DPZ,"[21944, 22103, 22309, 130724, 189790, 203020, 224889, 245926, 249147]"
FNJN,[225881]
MODN,"[308668, 308672]"
XPO,"[223582, 226288]"
DPM,[225829]
MDC,"[226355, 245650]"
LF,"[136441, 224726, 225174, 225471, 226386, 246016, 307106]"
LG,"[190088, 225330]"
LE,"[202825, 245272, 306794, 308156, 344809, 345016]"
LB,"[28305, 29920, 200687, 203030, 225483, 226099, 226555, 369378]"
PLBC,[246788]
AGCO,"[198243, 223870, 224031, 225864, 246114, 248907, 284726]"
SEMG,"[245724, 307440]"
LO,"[28986, 29275, 29283, 29328, 30094, 130846, 131744, 156630, 200073, 200516, 200547, 200549, 200634, 200675, 225309, 225992, 268860, 268999, 270421, 275044, 307276, 307281, 307301, 307303, 307697, 307707, 344858, 345203, 360946, 360948]"
LL,"[1592, 29332, 31778, 31779, 31780, 50270, 50271, 50279, 50293, 50295, 50303, 50304, 74256, 74261, 74482, 75079, 75081, 108369, 109874, 109878, 109886, 109889, 109966, 109969, 116358, 198288, 198438, 199536, 200651, 200724, 200732, 245356, 246053, 258992, 307311, 307312, 309338, 309339, 360345, 360352, 360353, 360357, 361670, 361671, 361673]"
LM,"[192889, 200076, 200716, 245826, 245994, 259079, 259085, 259398, 259530, 260118]"
TKMR,"[27975, 28710, 28723, 28727, 28744, 28745, 28773, 28781, 28783, 28787, 28884, 28886, 31355, 31456, 199073, 199247, 199322, 199420, 199571, 199722, 202631, 202641, 202956, 203066, 203095, 203134, 203159, 203160, 203215, 203217, 203218, 225044, 225113, 299125, 306625, 306636, 306885, 306934, 306961, 307035, 307036, 307037, 307057, 307060, 307062, 307065, 307066, 307068, 307073, 307110, 307129, 308969, 329333, 360259, 360261, 360262, 360264, 360266]"
ONE,"[223560, 224127, 224462, 246544, 246751, 246959, 357179, 358492, 358512, 358513, 358604, 358605, 358645, 358646, 358745]"
MNDL,[308484]
MNDO,[28810]
LQ,"[203117, 224187, 308133, 350882]"
UTSI,"[245155, 245450, 245594, 246011, 246160, 246899]"
A,"[29396, 224921, 225599, 251257, 310716, 311310, 311329, 360285]"
TEG,"[29618, 29619, 307417, 307419, 307422]"
FORM,[307650]
NTWK,[306895]
KEYW,[307510]
STNR,[199997]
NVGS,"[245737, 245915]"
FORD,[245800]
HEAR,[307987]
ANTH,[112270]
NBHC,"[199396, 246907]"
STNG,"[225553, 245919]"
EZPW,"[307475, 308799, 309345]"
PNY,[225330]
GG,"[73953, 74054, 75095, 75128, 223761, 223764, 224528, 224582, 224853, 224862, 226259, 226425, 249679, 250654, 265784]"
PNR,"[224202, 245883]"
HAIN,"[283, 610, 961, 28206, 50667, 50741, 50758, 202841, 203041, 224697, 260106, 308731, 345459]"
CFA,[223654]
PNK,"[198980, 244827, 245130]"
CALL,"[30233, 156138, 156144, 157207, 157240, 157270, 200171, 203122, 224596, 263482, 263582, 263615, 263729, 307794, 308401, 308407, 308408, 308676, 360668]"
CFX,"[198374, 245396, 245958]"
PNC,"[29042, 133197, 189086, 199081, 200187, 200365, 224229, 225784, 244832]"
CALD,[223614]
FIZZ,[345143]
VIMC,"[306679, 309317]"
TRUP,[259009]
CBOE,"[28236, 132677, 198993, 270276, 275233, 275263, 275305, 275339, 275357, 275453, 275589, 311098]"
TUES,"[223940, 225077, 246818]"
GIII,"[246463, 307589, 308279]"
ZPIN,"[202047, 307414]"
TRUE,"[225256, 233289, 233949, 307743]"
